#,ID ustanove,Univerzitet,Naziv ustanove,Tip ustanove,ID programa,Naziv programa,Zvanje,Polje,Nivo,Školarina za domaće studente,Školarina za strane studente,Broj ESPB bodova,Broj rešenja akreditacije,Datum rešenja akreditacije,Akreditaciona kvota,Broj budžetskih studenata - prva godina,Broj budžetskih studenata - druga godina,Broj budžetskih studenata - treća godina,Broj budžetskih studenata - četvrta godina,Broj budžetskih studenata - peta godina,Broj budžetskih studenata - šesta godina,Broj samofinansirajući studenata - prva godina,Broj samofinansirajući studenata - druga godina,Broj samofinansirajući studenata - treća godina,Broj samofinansirajući studenata - četvrta godina,Broj samofinansirajući studenata - peta godina,Broj samofinansirajući studenata - šesta godina,Broj stranih studenata - prva godina,Broj stranih studenata - druga godina,Broj stranih studenata - treća godina,Broj stranih studenata - četvrta godina,Broj stranih studenata - peta godina,Broj stranih studenata - šesta godina,Broj svršenih studenata tokom prethodne školske godine,Broj prijavljenih kandidata na upisu u narednu školsku godinu - I rok,Broj prijavljenih kandidata na upisu u narednu školsku godinu - II rok,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata,Dužina trajanja programa (u semestrima),Dužina trajanja programa (u god),Broj prijavljenih kandidata,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Polje_skraceno,Vlasnistvo,Broj studenata na zavrsnoj godini
503,72,Универзитет у Новом Саду,"Педагошки факултет, Сомбор",Државни факултет,595,Дипломирани васпитач,Дипломирани васпитач,Друштвено-хуманистичке науке,Основне академске,50000,1000,240,612-00-01120/2013-04,13/12/2013,50,13,15,11,27,0,0,4,7,1,77,0,0,0,0,0,0,0,0,32,11,3,66,89,0,155,8,4,14,17,22,12,104,0,0,DH,Државни факултет,104
504,72,Универзитет у Новом Саду,"Педагошки факултет, Сомбор",Државни факултет,596,Дипломирани дизајнер медија у образовању,Дипломирани дизајнер медија у образовању,Друштвено-хуманистичке науке,Основне академске,50000,1000,240,612-00-01120/2013-04,27/12/2013,45,6,9,10,14,0,0,2,4,3,3,0,0,0,0,0,0,0,0,13,4,4,39,12,0,51,8,4,8,8,13,13,17,0,0,DH,Државни факултет,17
505,87,Универзитет уметности у Београду,Факултет примењених уметности,Државни факултет,601,Дизајн,Дипломирани дизајнер,Уметност,Основне академске,170000,3000,240,612-00-00599/2014-04,22/05/2015,49,26,32,38,36,,,22,19,6,8,,,,,1,,,,37,109,0,132,55,1,188,8,4,109,,,45,,,,UM,Државни факултет,
506,87,Универзитет уметности у Београду,Факултет примењених уметности,Државни факултет,602,Конзервација и рестаурација,Дипломирани конзерватор и рестауратор,Уметност,Основне академске,170000,3000,240,612-00-00599/2014-04,22/05/2015,14,7,14,11,12,,,7,,1,1,,,,,,,,,12,10,0,44,9,0,53,8,4,10,,,,,,,UM,Државни факултет,
510,87,Универзитет уметности у Београду,Факултет примењених уметности,Државни факултет,608,Примењена уметност,Дипломирани примењени уметник,Уметност,Основне академске,170000,3000,240,612-00-00599/2014-04,22/05/2015,82,44,58,62,71,,,39,30,11,7,,,,,,,,,58,126,0,235,87,0,322,8,4,126,,,,,,,UM,Државни факултет,
532,79,Универзитет у Приштини,"Медицински факултет, Косовска Митровица",Државни факултет,643,Интегрисане академске студије медицине,Доктор медицине,Медицинске науке,Интегр. академске,70000,1800,360,612-00-00700/2013-04,04/04/2014,80,35,42,49,56,48,72,94,121,109,85,30,350,0,4,2,0,1,2,72,140,54,302,789,9,1100,12,6,194,129,167,160,141,79,424,MD,Државни факултет,424
533,79,Универзитет у Приштини,"Медицински факултет, Косовска Митровица",Државни факултет,646,Интегрисане академске студије стоматологије,Доктор медицинских наука стоматологија,Медицинске науке,Интегр. академске,70000,1800,300,612-00-00700/2013-04,04/04/2014,40,15,16,9,15,20,0,52,38,24,34,211,0,0,0,0,0,1,0,41,35,35,75,359,1,435,10,5,70,67,54,33,49,232,0,MD,Државни факултет,232
537,79,Универзитет у Приштини,"Медицински факултет, Косовска Митровица",Државни факултет,651,Основне академске студије здравствене неге,Организатор здравствене неге,Медицинске науке,Основне академске,40000,0,240,612-00-00700/2013-04,04/04/2014,30,0,0,0,0,0,0,37,53,18,85,0,0,0,0,0,0,0,0,14,16,3,0,193,0,193,8,4,19,37,53,18,85,0,0,MD,Државни факултет,85
542,78,Универзитет у Приштини,"Факултет уметности, Звечан",Државни факултет,972,Виолина,Дипломирани музички уметник,Уметност,Основне академске,100000,3000,240,612-00-908/2008-04,02/07/2010,1,0,0,0,0,,,0,0,1,0,,,0,0,0,0,,,1,0,0,0,1,0,1,8,4,0,0,0,1,0,,,UM,Државни факултет,0
545,97,Државни Универзитет у Новом Пазару,Департман хемијско-технолошке науке,Државни факултет,666,Пољопривредна производња (ОАС),Дипломирани инжењер пољопривреде,Техничко-технолошке науке,Основне академске,60000,625,240,612-00-745/2010-04,09/07/2010,,34,23,22,19,,,29,29,19,19,,,0,0,0,0,,,2,,,98,96,0,194,8,4,,63,52,41,38,,,TT,Државни факултет,38
546,97,Државни Универзитет у Новом Пазару,Департман хемијско-технолошке науке,Државни факултет,667,Прехрамбена технологија (ОАС),Дипломирани инжењер технологије,Техничко-технолошке науке,Основне академске,60000,625,240,612-00-00524/2015-06,08/05/2015,,35,21,23,23,,,35,34,16,16,,,2,0,0,0,,,1,,,102,101,2,205,8,4,,72,55,39,39,,,TT,Државни факултет,39
577,93,Државни Универзитет у Новом Пазару,Департман за биомедицинске науке,Државни факултет,705,Спорт и физичко васпитање (ОАС),Дипломирани професор физичког васпитања и спорта (биомедицинске науке),Медицинске науке,Основне академске,60000,625,240,612-00-00175/2013-04,22/03/2013,35,15,28,18,23,,,5,13,10,24,,,0,0,3,0,,,9,29,0,84,52,3,139,8,4,29,20,41,31,47,,,MD,Државни факултет,47
578,90,Државни Универзитет у Новом Пазару,Департман за техничке науке,Државни факултет,721,Архитектура (ОАС),Дипломирани инжењер архитектуре (техничке науке),Техничко-технолошке науке,Основне академске,60000,625,240,612-00-1144/2008-04,22/05/2009,,15,23,19,24,,,28,17,13,10,,,2,1,2,1,,,19,,,81,68,6,155,8,4,,45,41,34,35,,,TT,Државни факултет,35
579,81,Универзитет у Приштини,"Природно-математички факултет, Косовска Митровица",Државни факултет,739,Биологија,Дипломирани биолог,Природно-математичке науке,Основне академске,41000,1200,240,612-00-02708/2013-04,04/07/2014,45,20,10,10,35,,,7,8,13,36,,,,,,,,,11,15,9,75,64,0,139,8,4,24,,,,,,,PM,Државни факултет,
580,81,Универзитет у Приштини,"Природно-математички факултет, Косовска Митровица",Државни факултет,742,Хемија,Дипломирани хемичар,Природно-математичке науке,Основне академске,41000,1200,240,612-00-02702/2013-04,04/07/2014,25,12,10,11,12,,,0,0,4,1,,,,,,,,,11,11,5,45,5,0,50,8,4,16,,,,,,,PM,Државни факултет,
581,81,Универзитет у Приштини,"Природно-математички факултет, Косовска Митровица",Државни факултет,744,Математика,Дипломирани математичар,Природно-математичке науке,Основне академске,41000,1200,240,612-00-01377/2012-04,17/05/2013,25,11,8,10,17,,,3,16,22,22,,,,,,,,,10,5,7,46,63,0,109,8,4,12,,,,,,,PM,Државни факултет,
582,81,Универзитет у Приштини,"Природно-математички факултет, Косовска Митровица",Државни факултет,745,Физика,Дипломирани физичар,Природно-математичке науке,Основне академске,41000,1200,240,612-00-02704/2013-04,29/08/2014,15,9,6,0,8,,,1,6,6,4,,,,,,,,,8,8,5,23,17,0,40,8,4,13,,,,,,,PM,Државни факултет,
